prioridad,agencia,fit_sl26,fuentes,busqueda_linkedin,busqueda_google_xray,encontrados,revisado
1,10 STAR Agency,STRONG 5,ICP-wave3,https://www.linkedin.com/search/results/people/?keywords=%2210%20STAR%20Agency%22%20AND%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20%22client%20partner%22%20OR%20%22partnerships%22%20OR%20%22sales%22%29,https://www.google.com/search?q=site%3Alinkedin.com/in%20%2210%20STAR%20Agency%22%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20partnerships%29%20%22Los%20Angeles%22,,
1,2113 Labs,STRONG 5,ICP-wave3,https://www.linkedin.com/search/results/people/?keywords=%222113%20Labs%22%20AND%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20%22client%20partner%22%20OR%20%22partnerships%22%20OR%20%22sales%22%29,https://www.google.com/search?q=site%3Alinkedin.com/in%20%222113%20Labs%22%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20partnerships%29%20%22Los%20Angeles%22,,
1,2Heads Global Design (Spiro),STRONG 5,ICP-wave3,https://www.linkedin.com/search/results/people/?keywords=%222Heads%20Global%20Design%20%28Spiro%29%22%20AND%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20%22client%20partner%22%20OR%20%22partnerships%22%20OR%20%22sales%22%29,https://www.google.com/search?q=site%3Alinkedin.com/in%20%222Heads%20Global%20Design%20%28Spiro%29%22%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20partnerships%29%20%22Los%20Angeles%22,,
1,3rd Ave,STRONG 5,ICP-wave3,https://www.linkedin.com/search/results/people/?keywords=%223rd%20Ave%22%20AND%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20%22client%20partner%22%20OR%20%22partnerships%22%20OR%20%22sales%22%29,https://www.google.com/search?q=site%3Alinkedin.com/in%20%223rd%20Ave%22%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20partnerships%29%20%22Los%20Angeles%22,,
1,AGENC Experiential & Digital Marketing,STRONG 5,ICP-wave3,https://www.linkedin.com/search/results/people/?keywords=%22AGENC%20Experiential%20%26%20Digital%20Marketing%22%20AND%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20%22client%20partner%22%20OR%20%22partnerships%22%20OR%20%22sales%22%29,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22AGENC%20Experiential%20%26%20Digital%20Marketing%22%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20partnerships%29%20%22Los%20Angeles%22,,
1,ALT TERRAIN,STRONG 5,ICP-wave3,https://www.linkedin.com/search/results/people/?keywords=%22ALT%20TERRAIN%22%20AND%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20%22client%20partner%22%20OR%20%22partnerships%22%20OR%20%22sales%22%29,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22ALT%20TERRAIN%22%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20partnerships%29%20%22Los%20Angeles%22,,
1,ASV Inc.,STRONG 5,ICP-wave3,https://www.linkedin.com/search/results/people/?keywords=%22ASV%20Inc.%22%20AND%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20%22client%20partner%22%20OR%20%22partnerships%22%20OR%20%22sales%22%29,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22ASV%20Inc.%22%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20partnerships%29%20%22Los%20Angeles%22,,
1,Allied Experiential,STRONG 5,ICP-wave3,https://www.linkedin.com/search/results/people/?keywords=%22Allied%20Experiential%22%20AND%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20%22client%20partner%22%20OR%20%22partnerships%22%20OR%20%22sales%22%29,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Allied%20Experiential%22%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20partnerships%29%20%22Los%20Angeles%22,,
1,BeCore,STRONG 5,ICP-wave3,https://www.linkedin.com/search/results/people/?keywords=%22BeCore%22%20AND%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20%22client%20partner%22%20OR%20%22partnerships%22%20OR%20%22sales%22%29,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22BeCore%22%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20partnerships%29%20%22Los%20Angeles%22,,
1,Best Events LA,,PDF-Coachella(en persona),https://www.linkedin.com/search/results/people/?keywords=%22Best%20Events%20LA%22%20AND%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20%22client%20partner%22%20OR%20%22partnerships%22%20OR%20%22sales%22%29,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Best%20Events%20LA%22%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20partnerships%29%20%22Los%20Angeles%22,,
1,Boost Experiential,STRONG 5,ICP-wave3,https://www.linkedin.com/search/results/people/?keywords=%22Boost%20Experiential%22%20AND%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20%22client%20partner%22%20OR%20%22partnerships%22%20OR%20%22sales%22%29,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Boost%20Experiential%22%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20partnerships%29%20%22Los%20Angeles%22,,
1,Corso MG,,PDF-Coachella(en persona) | PDF-DM-IG | seed-118,https://www.linkedin.com/search/results/people/?keywords=%22Corso%20MG%22%20AND%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20%22client%20partner%22%20OR%20%22partnerships%22%20OR%20%22sales%22%29,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Corso%20MG%22%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20partnerships%29%20%22Los%20Angeles%22,,
1,Department of Wonder,,PDF-Coachella(en persona) | seed-118,https://www.linkedin.com/search/results/people/?keywords=%22Department%20of%20Wonder%22%20AND%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20%22client%20partner%22%20OR%20%22partnerships%22%20OR%20%22sales%22%29,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Department%20of%20Wonder%22%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20partnerships%29%20%22Los%20Angeles%22,,
1,EIDETIC Marketing,STRONG 5,ICP-wave3,https://www.linkedin.com/search/results/people/?keywords=%22EIDETIC%20Marketing%22%20AND%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20%22client%20partner%22%20OR%20%22partnerships%22%20OR%20%22sales%22%29,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22EIDETIC%20Marketing%22%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20partnerships%29%20%22Los%20Angeles%22,,
1,Episode One,,PDF-Coachella(en persona) | seed-118,https://www.linkedin.com/search/results/people/?keywords=%22Episode%20One%22%20AND%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20%22client%20partner%22%20OR%20%22partnerships%22%20OR%20%22sales%22%29,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Episode%20One%22%20%28%22business%20development%22%20OR%20%22new%20business%22%20OR%20%22account%20director%22%20OR%20partnerships%29%20%22Los%20Angeles%22,,
