agencia,fit_sl26,fuentes,linkedin_company,instagram,web,contactos_conocidos,estado
Corso MG,,PDF-Coachella(en persona) | PDF-DM-IG | seed-118,,@corsomg,,Benjamin Silver,
Mirrored Media,STRONG 5,ICP-wave3 | PDF-Coachella(en persona) | seed-118,linkedin.com/company/mirrored-media,,mirroredmedia.com,Nina Chu,en pipeline (waves 1-2)
NVE Experience Agency,STRONG 5,ICP-wave3 | PDF-DM-IG | seed-118,linkedin.com/company/experience-nve,@experiencenve,experiencenve.com,Jeff Dickens,en pipeline (waves 1-2)
1540 Productions,,PDF-DM-IG | seed-118,,@1540,,Kimberly T,
AKJohnston,,PDF-DM-IG | seed-118,,@akjohnston,,Cassidy Card,
The Bait Shoppe,,PDF-Coachella(en persona) | seed-118,,,,Vanesa Dawson,
Blue Revolver Inc.,,PDF-DM-IG | seed-118,,@bluerevolverinc,,Alex Kushner,
Cactus Fabrication,,PDF-scraping | seed-118,,@cactusfabrication,,Tony,
Production Club,,PDF-DM-IG | seed-118,,@production.club,,Kunaal A,
Department of Wonder,,PDF-Coachella(en persona) | seed-118,,,,Jamie,
Episode One,,PDF-Coachella(en persona) | seed-118,,,,Emily Knuth,
Gladiator Productions,,PDF-DM-IG | seed-118,,@gladiatorproductions,,Seth D,
Good Sense & Co.,,PDF-Coachella(en persona) | seed-118,,,,Rainbow,
MKG,,PDF-DM-IG | seed-118,,@thisismkg,,Lauren Austin,
On Board Experiential (OBE),STRONG 5,ICP-wave3 | seed-118,linkedin.com/company/obexp,,obexp.com,Dickson Au,en pipeline (waves 1-2)
Rebel and Road,,PDF-Coachella(en persona) | seed-118,,,,Peter Matkiwsky,
Revolution Marketing,,PDF-Coachella(en persona) | seed-118,,,,Judi Sanders,
Sparks,,PDF-Coachella(en persona) | seed-118,,,,Lindsay Hall,
We Are Swell,,PDF-Coachella(en persona) | seed-118,,,,Tom,
Whale Film,,PDF-Coachella(en persona) | seed-118,,,,Patrick Justice,
Yes Creative Co,,PDF-DM-IG | seed-118,,@yescreativeco,,Kiersten S,
10 STAR Agency,STRONG 5,ICP-wave3,linkedin.com/company/10-star-events,,10staragency.com,,target
11th St. Workshop,,PDF-scraping,,@11thstworkshop,,,
133 Studio,,PDF-scraping,,@133.studio,,,
2113 Labs,STRONG 5,ICP-wave3,linkedin.com/company/2113labs,,2113labs.com,,target
2Heads Global Design (Spiro),STRONG 5,ICP-wave3,linkedin.com/company/2heads,,spiro.com,,target
3CS Productions,,PDF-scraping,,@weare3cs,,,
3rd Ave,STRONG 5,ICP-wave3,,,,,target
72&Sunny,,seed-118,,,,Gerardo Ortiz,
9F Music Marketing,,PDF-scraping,,@9f.agency,,,
Accenture Song,,seed-118,,,,Leila Baboi,
Acronym,,PDF-scraping,,@acronym.lol,,,
AdWaken.ai,,seed-118,,,,Matt Koulermos,
AGENC Experiential & Digital Marketing,STRONG 5,ICP-wave3,linkedin.com/company/agenc-integrated-global-experiences,,agen-c.com,,target
Allied Experiential,STRONG 5,ICP-wave3,linkedin.com/company/allied-integrated-marketing,,alliedglobalmarketing.com/brand-experience,,target
ALT TERRAIN,STRONG 5,ICP-wave3,linkedin.com/company/alt-terrain,,altterrain.com,,target
Anomaly,,seed-118,,,,Mindy Benner,
Anthemic Agency,,PDF-DM-IG,,@anthemicagency,,,
Architectural Plastics Inc.,,seed-118,,,,Pierre M,
Arsenal New York,,PDF-scraping,,@arsenalnewyork,,,
ASV Inc.,STRONG 5,ICP-wave3,linkedin.com/company/asv-inc-,,asv1.com,,target
ATRBUTE & Compadre (Known),,seed-118,,,,Patrick Jones,
BeCore,STRONG 5,ICP-wave3,linkedin.com/company/becore,,becore.com,,target
Best Events LA,,PDF-Coachella(en persona),,,,,
Boost Experiential,STRONG 5,ICP-wave3,,,boost-experiential.com,,target
BRDG Studios,,PDF-scraping,,@brdgstudios,,,
BY_Overnight,,PDF-scraping,,@by_overnight,,,
Cal Marketing and Promotion Group (CMPG),GOOD 4,ICP-wave3,linkedin.com/company/cal-marketing-and-promotion-group-cmpg,,cmpgusa.com,,target
Cheil USA,,seed-118,,,,Marisol Medina,
CNC Experiences,,PDF-DM-IG,,@cncexperiences,,,
Cognition Labs,,PDF-scraping,,@cognitionlabs,,,
C. O'Neil Productions,,PDF-scraping,,@c.oneilproductions,,,
Conill Advertising,,seed-118,,,,Dani Hernandez,
Contemporary Productions,GOOD 4,ICP-wave3,linkedin.com/company/contemporary-productions,,contemporaryproductions.com,,target
Cool Shit,,PDF-scraping,,@coolshit,,,
Create Fabricate,,PDF-scraping,,@createfabricate,,,
Creative Artists Agency,,seed-118,,,,Danielle Oxford,
Damminger Productions,,seed-118,,,,Brandon R,
Dark Barrel Media,,seed-118,,,,Brian Morgan,
David & Goliath,,seed-118,,,,Danny White,
DBXS Marketing,,seed-118,,,,Zeke Chaidez,
De La Revolucion,,seed-118,,,,Amaya Nakpodia,
The Designtist Group,,seed-118,,,,Jody Friedericks,
Deutsch LA,GOOD 4,ICP-wave3,linkedin.com/company/deutschla,,deutschla.com,,target
DE-YAN,,PDF-scraping,,@deyandotcom,,,
Double A Labs,GOOD 4,ICP-wave3,linkedin.com/company/doublealabs,,doublealabs.com,,target
EBMG (Sports),,seed-118,,,,Lila Brown,
EIDETIC Marketing,STRONG 5,ICP-wave3,,,eideticmarketing.com,,target
Enormous Horsepower,,seed-118,,,,Matt Jacobs,
Envy Create,,PDF-DM-IG,,@envy_create,,,
Erre Studio,,PDF-scraping,,@erre__studio,,,
Evolve Activation,STRONG 5,ICP-wave3,linkedin.com/company/evolve-activation,,evolveactivation.com,,target
Exhibits Studio LLC,GOOD 4,ICP-wave3,,,exhibitsstudio.com,,target
Experience Lab,,PDF-scraping,,@experience__lab,,,
Exposure America,,PDF-scraping,,@exposureamerica,,,
The Factory NYC,,PDF-scraping,,@the_factory_nyc,,,
FG|PG (Freddie Georges Production Group),STRONG 5,ICP-wave3,linkedin.com/company/freddie-georges-production-group,,fgpg.com,,target
Finn Partners,,seed-118,,,,ZION Adissem,
Friend of a Friend Collective,GOOD 4,ICP-wave3,linkedin.com/company/the-friends-studio,,thefriends.studio,,target
GALE,,seed-118,,,,Lizzy Lehn,
Ghoul Design Studio,,PDF-scraping,,@ghoul_design_studio,,,
Giant Spoon,STRONG 5,ICP-wave3,linkedin.com/company/giant-spoon-llc,,giantspoon.com,,target
Gizmo Media Inc,GOOD 4,ICP-wave3,linkedin.com/company/gizmolive-llc,,gizmo.media,,target
Gradient,,seed-118,,,,Elijah Klauder,
Gradient Experience,,PDF-DM-IG,,@gradientexperience,,,
GUT,,seed-118,,,,Tracy Silagi,
Haley Bergman Creative,,seed-118,,,,Haley Bergman,
Hatch.IM,STRONG 5,ICP-wave3,linkedin.com/company/hatch-im,,hatch.im,,target
Hawke Media,,seed-118,,,,Erik Huberman,
H+ Creative,,PDF-DM-IG,,@hplus_creative,,,
HPlus Creative,,seed-118,,,,Hannah Stouffer,
Huge,,seed-118,,,,Ez Blaine,
HXM,,PDF-DM-IG,,@wearehxm,,,
HYGO,,seed-118,,,,Stephen Zhang,
Ideko Productions (NYC),,PDF-scraping,,@idekoproductions,,,
IGO Productions,,PDF-scraping,,@igoproduction,,,
Infinity Marketing Team,STRONG 5,ICP-wave3,linkedin.com/company/infinity-marketing-team,,infinitymarketing.com,,target
INNOCEAN USA,,seed-118,,,,Ginger Quintanilla,
Innovate Marketing Group,STRONG 5,ICP-wave3,linkedin.com/company/innovate-marketing-group,,innovatemkg.com,,target
Jack Morton Worldwide,STRONG 5,ICP-wave3,linkedin.com/company/jack-morton-worldwide,,jackmorton.com,,target
Joe Agency,GOOD 4,ICP-wave3,linkedin.com/company/joe-agency,,joeagency.com,,target
The Manual London,,PDF-DM-IG,,@themanuallondon,,,
Media.Monks,,seed-118,,,,Durier Ryan,
Mile 9,GOOD 4,ICP-wave3,linkedin.com/company/mile-9,,mile9agency.com,,target
MKG (thisismkg),STRONG 5,ICP-wave3,linkedin.com/company/thisismkg,,thisismkg.com,,en pipeline (waves 1-2)
MKTG,STRONG 5,ICP-wave3,linkedin.com/company/mktg,,mktg.com,,target
Monks,,seed-118,,,,Michael Graham,
Mother,,seed-118,,,,Kelly Crowe,
Mother LA,,PDF-DM-IG,,@mother__la,,,
MWD Creative,,PDF-DM-IG,,@mwdcreativeagency,,,
New Moon,GOOD 4,ICP-wave3,linkedin.com/company/new-moon-agency,,new-moon.com,,target
NRG Experiential,STRONG 5,ICP-wave3,linkedin.com/company/nrg-marketing-llc,,madewithnrg.com,,target
OA Experiential (now Collab),GOOD 4,ICP-wave3,,,collabexperiential.com,,target
OM Digital,GOOD 4,ICP-wave3,linkedin.com/company/omdigitalagency,,omdigital.com,,target
Omelet,,seed-118,,,,Thas Naseemuddeen,
Omnicom Production,,seed-118,,,,Amanda Azoroh,
Onboard Experiential,,PDF-Coachella(en persona),,,,,
Persona Communications Group,,seed-118,,,,Gary Fischer,
PET GORILLA,STRONG 5,ICP-wave3,,,petgorilla.com,,target
Petrol Advertising,,seed-118,,,,Neel Kar,
Pico Group,STRONG 5,ICP-wave3,linkedin.com/company/picolosangeles,,pico.com,,target
PIM Group,,PDF-scraping,,@pimgroup,,,
Pop Up Mob,,PDF-scraping,,@popupmob,,,
P+P Agency,,seed-118,,,,Noelle Whitmore,
Premier Staff,,PDF-scraping,,@premierstaff,,,
PRODJECT,,PDF-scraping,,@prodject,,,
Promo 360 Group,,PDF-DM-IG,,@promo360group,,,
Rebel Road Studios,,PDF-DM-IG,,@rebelroadstudios,,,
Rescue Agency,,seed-118,,,,Femi Corazon,
Resist Comfort,,seed-118,,,,Ron Ceballos,
RMNG,STRONG 5,ICP-wave3,linkedin.com/company/rmng,,rmng.co,,target
RPA,,seed-118,,,,Jennifer Lamping,
Saatchi & Saatchi,,seed-118,,,,Annie Elliott,
Say Ok,GOOD 4,ICP-wave3,,,thesayok.com,,target
Schema Agency,,seed-118,,,,Marielle Sales,
SG Cartel,GOOD 4,ICP-wave3,,,sgcartel.com,,target
Sherpa 42,,PDF-scraping,,@sherpa.42,,,
Some Place Good,,seed-118,,,,Greg Buri,
Spacecube,,seed-118,,,,Ben Kinnear,
Starch Creative,,PDF-scraping,,@starchcreative,,,
Stickerfarmer,,seed-118,,,,Emilio,
Sunset Studios,,seed-118,,,,Linda E,
TBA Global,STRONG 5,ICP-wave3,linkedin.com/company/tba-global,,tbagrp.com,,target
Team One,,seed-118,,,,Mikette Miller,
TEN Advertising,,seed-118,,,,Kyung An,
Treehouse,,seed-118,,,,Drew Thompson,
Treehouse Fabrication,,PDF-scraping,,@treehousefabrication,,,
Unfold Agency,,seed-118,,,,Lance Vantile,
United Talent Agency,,seed-118,,,,Vladimir Dubko,
Unobtainium Agency,,PDF-scraping,,@unobtainiumagency,,,
Vacation,,seed-118,,,,Jamie Sinclair,
Vayner Media,,seed-118,,,,Sequel Smith,
VEE Agency,STRONG 5,ICP-wave3,,,veeagency.com,,target
VIVO Productions,,PDF-scraping,,@vivo.productions,,,
Wasserman,,seed-118,,,,Joe McLaren,
Wonder,GOOD 4,ICP-wave3,,,thewonderevents.com,,target
XD Agency,,PDF-DM-IG,,@xdagency,,,
YULIA,,seed-118,,,,Yulia Graham,
